Time;KBIn;PktIn;KBOut;PktOut
18:08:36;3;17;3;15
18:08:37;1;3;2;6
18:08:38;2;15;1;12
18:08:39;3;17;3;16
18:08:40;1;5;2;7
18:08:41;2;15;1;11
18:08:42;3;17;3;15
18:08:43;2;8;3;10
18:08:44;2;15;1;11
18:08:45;3;19;3;16
18:08:46;1;3;2;5
18:08:47;2;16;1;12
18:08:48;3;17;3;16
18:08:49;0;1;1;2
18:08:50;3;17;2;14
18:08:51;2;11;2;11
18:08:52;1;7;0;5
18:08:53;3;18;3;17
18:08:54;1;4;2;6
18:08:55;2;15;1;12
18:08:56;3;17;3;16
18:08:57;1;4;2;5
18:08:58;2;15;1;11
18:08:59;3;17;3;15
18:09:00;1;4;2;5
18:09:01;2;15;1;11
18:09:02;3;17;3;16
18:09:03;2;6;2;7
18:09:04;2;15;1;12
18:09:05;3;17;3;15
18:09:06;1;3;2;5
18:09:07;2;15;1;11
18:09:08;4;21;4;19
18:09:09;0;1;0;1
18:09:10;3;17;3;15
18:09:11;2;13;3;15
18:09:12;1;6;0;4
18:09:13;3;17;3;16
18:09:14;1;3;2;5
18:09:15;2;15;1;11
