ID,KBIn,PktIn,KBOut,PktOut,Data_original,Unix_time  
429,0,1,1,0,2022-04-26-3:28:48,1650968928000048
430,0,1,1,0,2022-04-26-3:28:49,1650968929000049
431,0,2,1,0,2022-04-26-3:28:50,165096893000005
432,0,3,3,0,2022-04-26-3:28:51,1650968931000051
433,0,1,1,0,2022-04-26-3:28:52,1650968932000052
434,0,2,1,0,2022-04-26-3:28:53,1650968933000053
435,0,1,1,0,2022-04-26-3:28:54,1650968934000054
436,0,1,1,0,2022-04-26-3:28:55,1650968935000055
437,0,2,1,0,2022-04-26-3:28:56,1650968936000056
438,0,1,1,0,2022-04-26-3:28:57,1650968937000057
439,0,3,1,0,2022-04-26-3:28:58,1650968938000058
440,0,4,1,0,2022-04-26-3:28:59,1650968939000059
441,0,5,1,0,2022-04-26-3:29:0,16509689400
442,0,5,3,0,2022-04-26-3:29:1,1650968941000001
443,0,5,1,0,2022-04-26-3:29:2,1650968942000002
444,0,4,1,0,2022-04-26-3:29:3,1650968943000003
445,0,2,1,0,2022-04-26-3:29:4,1650968944000004
446,0,4,1,0,2022-04-26-3:29:5,1650968945000005
447,1,4,5,1,2022-04-26-3:29:6,1650968946000006
448,0,1,1,0,2022-04-26-3:29:7,1650968947000007
449,0,2,2,0,2022-04-26-3:29:8,1650968948000008
450,0,1,1,0,2022-04-26-3:29:9,1650968949000009
451,0,1,1,0,2022-04-26-3:29:10,165096895000001
452,0,2,1,0,2022-04-26-3:29:11,1650968951000011
453,0,1,1,0,2022-04-26-3:29:12,1650968952000012
454,0,1,1,0,2022-04-26-3:29:13,1650968953000013
455,0,1,1,0,2022-04-26-3:29:14,1650968954000014
456,0,1,1,0,2022-04-26-3:29:15,1650968955000015
457,0,3,3,0,2022-04-26-3:29:16,1650968956000016
458,0,4,1,0,2022-04-26-3:29:17,1650968957000017
459,0,5,1,0,2022-04-26-3:29:18,1650968958000018
